 ENTREE,TITRE,AUTEUR,SERIE,COTE,EDITION,COMMENTAIRES,THEME_OUVRAGE,TYPE_OUVRAGE
3706,La reine Hortense,"TURQUAN, Joseph",N,N CTUR,"Tallandier, 1927, 209 p.",,Napoleon I et les Napoleonides,
3707,Le dernier voyage de Napoleon,LAS CASES (comte de),N,N LAS,"Le Monde en 10/18, St-Amand, 1962, 251 p.",,Napoleon I et les Napoleonides,
3708,Le testament de Napoleon ,"DELLISSE, Luc",N,N DEL,"Casterman, 1994, 114 p.",,Napoleon I et les Napoleonides,
3709,Napoleon - Une imposture,"CARATINI, Roger",N,N CAR,"Michel Lafon, 1998, 526 p.",,Napoleon I et les Napoleonides,
3710,Bonaparte en Italie,"FERRERO, Guglielmo",N,N FER,"Editiuons de Fallois, 1994, 263 p.",,Napoleon I et les Napoleonides,
3711,Napoleon,"LEFEBVRE, Georges",N,N LEF,"PUF, 1941, 606 p.",,Napoleon I et les Napoleonides,
3712,L enigme Napoleon resolue,"MAURY, Rene; CANDE-MONTHOLON, François de",N,N MAU,"Albin Michel, 2000, 233 p. + annexes",,Napoleon I et les Napoleonides,
3713,Les grandes enigmes de l Histoire - Napoleon a-t-il ete assasssine ?,"GERSAL, Frederick",N,N GER,"First Editions, 2006, 237 p.",,Napoleon I et les Napoleonides,
3714,L assassin de Bonaparte,"PROLONGEAU, Hubert",N,N PRO,"Editions du Masque, 2001, 306 p.",,Napoleon I et les Napoleonides,
3715,"Hortense, reine de l Empire","WRIGHT, C.",N,N WRI,"Arthaud, 1964, 314 p.",,Napoleon I et les Napoleonides,
3716,Les grandes impostures de l histoire de France de Vercingetorix a Napoleon,"CARATINI, Roger",N,N CAR,"Michel Lafon, 2004, 301 p.",,Napoleon I et les Napoleonides,
3717,Sainte-Helene - La captivite de Napoleon,"AUBRY, Octave",N,N AUB,"Flammarion, 1935, 317 p.",,Napoleon I et les Napoleonides,
3718,Napoleon,"CONSTANTIN-WEYER, M.",N,N CON,"Editions Rieder, 1931, 217 p.",,Napoleon I et les Napoleonides,
3719,Napoleon empereur franc-maçon,"COLLAVERI, François",N,N COL,"Tallandier, 1986, 216 p.",,Napoleon I et les Napoleonides,
3720,"Josephine, femme de Napoleon Ier","REGIS, Roger",N,N REG,"Les livres merveilleux, 1944, 187 p.",,Napoleon I et les Napoleonides,
3721,Napoleon par lui-même,"ROMAINS, Jules",N,N ROM,"Perrin, 1963, 311 p.",,Napoleon I et les Napoleonides,
3722,Le Dr Antomarchi ou le secret du masque de Napoleon,"PAOLI, François",N,N PAO,"Publisud, 1996, 351 p.",,Napoleon I et les Napoleonides,
3723,Napoleon devant les religions,"PERRODO-LEMOYNE, Henri; LAILLET, Calude",N,N PER,"Roger Maria editeur, 1970, 207 p.",,Napoleon I et les Napoleonides,
3724,Histoire populaire de Napoleon Ier suivie des anecdotes imperiales par un ancien officier de la Garde,INCONNU,N,N INC,"Administration, 1932, 318 p .",,Napoleon I et les Napoleonides,
3725,Napoleon bis,"JEANNE, Rene",N,N JEA,"La nouvelle societe d edition, 1932, 254 p.",,Napoleon I et les Napoleonides,
3726,Napoleon le Grand,"ROSNY AINE, J.-H.",N,N ROS,"Editions des Portiques, 1931, 254 p.",,Napoleon I et les Napoleonides,
3728,La Rome de Napoleon - La domination française a Rome de 1809 a 1814,"MADELIN, Louis",N,N MAD,"Plon, 1906, 727 p.",,Napoleon I et les Napoleonides,
3729,II - Napoleon chef de guerre - La formation militaire et la premiere campagne d Italie,"DELMAS, Jean; LESOUEF, Pierre (lieutenants-colonels)",N,N DEL,"Club français du livre, 1970, volume 1 . 635 p. + cartes.",,Napoleon I et les Napoleonides,
3730,II - Napoleon chef de guerre - Les annees heureuses,"DELMAS, Jean; LESOUEF, Pierre (lieutenants-colonels)",N,N DEL,"Club français du livre, 1970, volume 2 . 687 p.",,Napoleon I et les Napoleonides,
3731,II - Napoleon chef de guerre - Le declin,"DELMAS, Jean; LESOUEF, Pierre (lieutenants-colonels)",N,N DEL,"Club français du livre, 1970, volume 3 . 556 p.",,Napoleon I et les Napoleonides,
3732,IV - Napoleon vu et juge par ses collaborateurs,"DELMAS, Jean; LESOUEF, Pierre (lieutenants-colonels)",N,N DEL,"Club français du livre, 1971, volume 1 .  631 p. + annexes.",,Napoleon I et les Napoleonides,
